"Points:0","Points:1","Points:2"
-0.063288,0.043555,0.3965
-0.061652,0.043555,0.3965
-0.063288,0.043555,0.3975
-0.063288,0.044355,0.3965
-0.06,0.043555,0.3965
-0.061652,0.043555,0.3975
-0.061652,0.044355,0.3965
-0.063288,0.043555,0.3985
-0.063288,0.044355,0.3975
-0.063288,0.045155,0.3965
-0.058321,0.043555,0.3965
-0.06,0.043555,0.3975
-0.06,0.044355,0.3965
-0.061652,0.043555,0.3985
-0.061652,0.044355,0.3975
-0.061652,0.045155,0.3965
-0.063288,0.043555,0.3995
-0.063288,0.044355,0.3985
-0.063288,0.045155,0.3975
-0.063288,0.045955,0.3965
-0.056604,0.043555,0.3965
-0.058321,0.043555,0.3975
-0.058321,0.044355,0.3965
-0.06,0.043555,0.3985
-0.06,0.044355,0.3975
-0.06,0.045155,0.3965
-0.061652,0.043555,0.3995
-0.061652,0.044355,0.3985
-0.061652,0.045155,0.3975
-0.061652,0.045955,0.3965
-0.063288,0.044355,0.3995
-0.063288,0.045155,0.3985
-0.063288,0.045955,0.3975
-0.063288,0.046755,0.3965
-0.054836,0.043555,0.3965
-0.056604,0.043555,0.3975
-0.056604,0.044355,0.3965
-0.058321,0.043555,0.3985
-0.058321,0.044355,0.3975
-0.058321,0.045155,0.3965
-0.06,0.043555,0.3995
-0.06,0.044355,0.3985
-0.06,0.045155,0.3975
-0.06,0.045955,0.3965
-0.061652,0.044355,0.3995
-0.061652,0.045155,0.3985
-0.061652,0.045955,0.3975
-0.061652,0.046755,0.3965
-0.063288,0.045155,0.3995
-0.063288,0.045955,0.3985
-0.063288,0.046755,0.3975
-0.063288,0.047511,0.3965
-0.053007,0.043555,0.3965
-0.054836,0.043555,0.3975
-0.054836,0.044355,0.3965
-0.056604,0.043555,0.3985
-0.056604,0.044355,0.3975
-0.056604,0.045155,0.3965
-0.058321,0.043555,0.3995
-0.058321,0.044355,0.3985
-0.058321,0.045155,0.3975
-0.058321,0.045955,0.3965
-0.06,0.044355,0.3995
-0.06,0.045155,0.3985
-0.06,0.045955,0.3975
-0.06,0.046755,0.3965
-0.061652,0.045155,0.3995
-0.061652,0.045955,0.3985
-0.061652,0.046755,0.3975
-0.061652,0.047511,0.3965
-0.063288,0.045955,0.3995
-0.063288,0.046755,0.3985
-0.063288,0.047511,0.3975
-0.063288,0.047511,0.39556
-0.063288,0.048223,0.3965
-0.06488,0.047511,0.3965
-0.051104,0.043555,0.3965
-0.053007,0.043555,0.3975
-0.053007,0.044355,0.3965
-0.054836,0.043555,0.3985
-0.054836,0.044355,0.3975
-0.054836,0.045155,0.3965
-0.056604,0.043555,0.3995
-0.056604,0.044355,0.3985
-0.056604,0.045155,0.3975
-0.056604,0.045955,0.3965
-0.058321,0.044355,0.3995
-0.058321,0.045155,0.3985
-0.058321,0.045955,0.3975
-0.058321,0.046755,0.3965
-0.06,0.045155,0.3995
-0.06,0.045955,0.3985
-0.06,0.046755,0.3975
-0.06,0.047511,0.3965
-0.061652,0.045955,0.3995
-0.061652,0.046755,0.3985
-0.061652,0.047511,0.3975
-0.061652,0.047511,0.39556
-0.061652,0.048223,0.3965
-0.063288,0.046755,0.3995
